food_id,user_id,rating
1,1,1
1,12,5
1,13,5
1,8,3
1,11,3
1,3,1
1,5,3
1,13,2
1,10,5
1,6,2
1,2,5
1,9,1
1,7,4
1,4,5
1,20,1
1,20,2
2,7,4
2,1,5
2,4,1
2,11,5
2,3,4
2,5,5
2,10,5
2,6,4
2,18,4
2,2,5
2,8,5
3,2,4
3,6,4
3,4,2
3,1,1
3,11,2
3,20,5
3,8,5
3,5,4
4,2,2
4,10,5
4,5,2
5,3,3
5,9,1
5,5,5
5,1,2
5,13,5
5,8,5
5,7,3
5,6,1
6,8,2
6,6,4
6,7,1
6,10,5
6,9,1
6,4,2
6,5,5
6,11,4
6,12,2
6,15,4
6,2,5
6,3,2
7,10,1
7,5,2
7,3,5
7,1,1
7,4,3
7,16,2
8,5,5
8,3,5
8,9,5
8,4,5
8,3,5
8,4,1
8,6,1
8,10,5
9,10,5
9,13,2
9,20,2
9,17,2
9,6,4
9,9,1
9,7,5
9,8,2
9,5,5
9,15,4
10,18,1
10,7,5
10,8,2
10,6,5
10,5,3
11,19,1
11,4,3
11,7,5
11,2,2
11,10,4
12,14,3
12,1,1
12,9,5
12,6,3
12,8,2
12,5,5
13,2,5
13,5,4
13,7,3
13,3,3
13,9,1
13,15,2
13,1,3
14,10,3
14,3,5
15,7,3
15,1,4
15,11,5
15,4,5
16,12,1
16,9,3
16,6,3
16,4,2
17,4,2
17,13,5
17,15,3
17,8,2
17,2,2
17,10,2
17,17,5
17,5,1
18,4,5
18,7,2
18,13,2
18,8,4
18,9,2
18,11,2
18,14,2
19,9,2
19,11,3
19,15,5
19,19,2
19,7,4
19,4,5
19,3,2
19,6,4
20,13,5
20,4,2
20,16,1
20,2,4
20,17,5
20,8,4
20,6,3
20,1,4
20,20,2
20,7,2
21,2,1
21,12,1
21,5,1
21,17,2
21,20,3
22,4,2
22,11,5
22,9,3
22,1,2
22,5,1
22,18,4
23,18,4
23,12,3
23,19,1
23,16,5
23,4,4
23,19,2
23,14,5
24,8,4
24,4,3
24,20,4
24,13,3
25,1,3
25,10,1
25,7,4
25,8,4
26,2,2
26,1,5
26,7,3
26,3,2
26,6,4
27,15,2
27,16,4
27,2,3
28,1,3
28,3,2
28,2,3
29,3,1
29,4,3
29,7,4
30,10,3
30,6,3
30,7,4
30,3,4
30,9,4
30,5,2
30,4,4
30,2,2
30,11,2
30,1,1
31,19,3
31,14,2
31,9,1
31,9,5
31,2,1
31,6,5
31,16,5
31,10,2
31,4,1
32,5,3
32,7,2
32,6,3
32,4,3
32,3,2
33,13,3
33,9,5
33,6,2
33,3,3
33,7,5
33,10,2
33,2,2
33,5,2
33,8,3
34,9,2
35,7,5
35,4,5
35,10,4
36,20,1
36,11,1
36,4,2
36,13,5
36,2,4
37,12,2
37,6,3
37,1,5
37,9,4
38,13,4
38,6,5
39,14,4
39,6,5
39,9,3
39,17,1
39,1,3
39,7,5
40,5,2
40,15,3
40,18,4
40,14,1
40,3,5
40,1,2
40,10,4
40,9,2
